ID,Species,Animal_Class,WQ_Principles,WQ_Criteria,Welfare_Hazards_Animal,Welfare_Hazards_Consequences,Welfare_Hazards_Affective_States,Welfare_Hazards_Impact,Ease_of_Hazard_Mitigation,Welfare_Indicator,Indicator_Type,Indicator_Dimensions,Indicator_Ease,Indicator_Resources,Hazards_Source_1,Hazards_Source_2,Global_Usage,Norway_Usage
3,Beef,Beef bulls,Appropiate behaviour,Expression of social behaviours,Lack of space for exercise and social interactions,General disruption of behaviour,Frustration,Low,Difficult,Agonistic behaviour,Welfare outcome,Behavioural,Moderate,Low,22,,"F, R",Y
4,Beef,Adults - Cubicles,Appropiate behaviour,Expression of social behaviours,Too few feeding places indoors,General disruption of behaviour,Frustration,Low,Difficult,Agonistic behaviour during feeding,Welfare outcome,Behavioural,Moderate,Low,22,,"F, R",Y
4,Beef,Adults - Tie stalls,,,,,,,,,,,,,,,,
4,Beef,Beef calves,Appropiate behaviour,Expression of social behaviours,Too few feeding places indoors,General disruption of behaviour,Frustration,Low,Difficult,Agonistic behaviour during feeding,Welfare outcome,Behavioural,Moderate,Low,22,,"F, R",Y
4,Beef,Beef bulls,Appropiate behaviour,Expression of social behaviours,Too few feeding places indoors,General disruption of behaviour,Frustration,Low,Difficult,Agonistic behaviour during feeding,Welfare outcome,Behavioural,Moderate,Low,22,,"F, R",Y
5,Beef,Adults - Cubicles,Good Housing,Comfort around resting,Low space allowance,Resting problems,Frustration,High,Moderate,Altered resting posture,Welfare outcome,Behavioural,Moderate,Low,22,,"F, R",Y
5,Beef,Adults - Tie stalls,Good Housing,Comfort around resting,Low space allowance,Resting problems,Frustration,High,Moderate,Altered resting posture,Welfare outcome,Behavioural,Moderate,Low,22,,"F, R",Y
5,Beef,Beef calves,Good Housing,Comfort around resting,Low space allowance,Resting problems,Frustration,High,Moderate,Altered resting posture,Welfare outcome,Behavioural,Moderate,Low,22,,"F, R",Y
5,Beef,Beef bulls,Good Housing,Comfort around resting,Low space allowance,Resting problems,Frustration,High,Moderate,Altered resting posture,Welfare outcome,Behavioural,Moderate,Low,22,,"F, R",Y
6,Beef,Adults - Cubicles,Appropiate behaviour,Positive emotional state,Separation of cow and calf at weaning,Separation stress,Di(stress),High,Moderate,Amount of eye white,Welfare outcome,Behavioural,Moderate,Medium,20,5,R,N (research only)
6,Beef,Adults - Tie stalls,Appropiate behaviour,Positive emotional state,Separation of cow and calf at weaning,Separation stress,Di(stress),High,Moderate,Amount of eye white,Welfare outcome,Behavioural,Moderate,Medium,20,5,R,N (research only)
6,Beef,Beef calves,Appropiate behaviour,Positive emotional state,Separation of cow and calf at weaning,Separation stress,Di(stress),High,Moderate,Amount of eye white,Welfare outcome,Behavioural,Moderate,Medium,20,5,R,N (research only)
6,Beef,Beef bulls,,,,,,,,,,,,,,,,
7,Beef,Adults - Cubicles,,,,,,,,,,,,,,,,
7,Beef,Adults - Tie stalls,,,,,,,,,,,,,,,,
7,Beef,Beef calves,Good Feeding,Absence of prolonged hunger,Abrupt weaning from milk,Prolonged hunger,Fatigue,High,Easy,Body condition scoring,Welfare outcome,Health/physical/production,Moderate,Low,10,,F,Y
7,Beef,Beef bulls,,,,,,,,,,,,,,,,
8,Beef,Adults - Cubicles,,,,,,,,,,,,,,,,
8,Beef,Adults - Tie stalls,,,,,,,,,,,,,,,,
8,Beef,Beef calves,Good Feeding,Absence of prolonged hunger,Poor management and nutrition of orphan calves,Prolonged hunger,Discomfort,High,Easy,Body condition scoring,Welfare outcome,Health/physical/production,Moderate,Low,19,,F,Y
8,Beef,Beef bulls,,,,,,,,,,,,,,,,
9,Beef,Adults - Cubicles,Good Feeding,Absence of prolonged hunger,Poor pasture quality,Prolonged hunger,Discomfort,High,Moderate,Body condition scoring,Welfare outcome,Health/physical/production,Moderate,Low,19,,F,Y
9,Beef,Adults - Tie stalls,Good Feeding,Absence of prolonged hunger,Poor pasture quality,Prolonged hunger,Discomfort,High,Moderate,Body condition scoring,Welfare outcome,Health/physical/production,Moderate,Low,19,,F,Y
9,Beef,Beef calves,Good Feeding,Absence of prolonged hunger,Poor pasture quality,Prolonged hunger,Discomfort,High,Moderate,Body condition scoring,Welfare outcome,Health/physical/production,Moderate,Low,19,,F,Y
9,Beef,Beef bulls,,,,,,,,,,,,,,,,
10,Beef,Adults - Cubicles,Good Feeding,Absence of prolonged hunger,Poor quality feed (low nutritive value),Prolonged hunger,Fatigue,High,Easy,Body condition scoring,Welfare outcome,Health/physical/production,Moderate,Low,3,,F,Y
10,Beef,Adults - Tie stalls,Good Feeding,Absence of prolonged hunger,Poor quality feed (low nutritive value),Prolonged hunger,Fatigue,High,Easy,Body condition scoring,Welfare outcome,Health/physical/production,Moderate,Low,3,,F,Y
10,Beef,Beef calves,Good Feeding,Absence of prolonged hunger,Poor quality feed (low nutritive value),Prolonged hunger,Fatigue,High,Easy,Body condition scoring,Welfare outcome,Health/physical/production,Moderate,Low,3,,F,Y
10,Beef,Beef bulls,Good Feeding,Absence of prolonged hunger,Poor quality feed (low nutritive value),Prolonged hunger,Fatigue,High,Easy,Body condition scoring,Welfare outcome,Health/physical/production,Moderate,Low,3,,F,Y
11,Beef,Adults - Cubicles,Good Feeding,Absence of prolonged hunger,Poor quality feed (pathogens/toxins),Prolonged hunger,Fatigue,High,Easy,Body condition scoring,Welfare outcome,Health/physical/production,Moderate,Low,3,,F,Y
11,Beef,Adults - Tie stalls,Good Feeding,Absence of prolonged hunger,Poor quality feed (pathogens/toxins),Prolonged hunger,Fatigue,High,Easy,Body condition scoring,Welfare outcome,Health/physical/production,Moderate,Low,3,,F,Y
11,Beef,Beef calves,Good Feeding,Absence of prolonged hunger,Poor quality feed (pathogens/toxins),Prolonged hunger,Fatigue,High,Easy,Body condition scoring,Welfare outcome,Health/physical/production,Moderate,Low,3,,F,Y
11,Beef,Beef bulls,Good Feeding,Absence of prolonged hunger,Poor quality feed (pathogens/toxins),Prolonged hunger,Fatigue,High,Easy,Body condition scoring,Welfare outcome,Health/physical/production,Moderate,Low,3,,F,Y
12,Beef,Adults - Cubicles,Good Feeding,Absence of prolonged hunger,Underfeeding,Prolonged hunger,Discomfort,High,Easy,Body condition scoring,Welfare outcome,Health/physical/production,Moderate,Low,2,,F,Y
12,Beef,Adults - Tie stalls,Good Feeding,Absence of prolonged hunger,Underfeeding,Prolonged hunger,Discomfort,High,Easy,Body condition scoring,Welfare outcome,Health/physical/production,Moderate,Low,2,,F,Y
12,Beef,Beef calves,Good Feeding,Absence of prolonged hunger,Underfeeding,Prolonged hunger,Discomfort,High,Easy,Body condition scoring,Welfare outcome,Health/physical/production,Moderate,Low,2,,F,Y
12,Beef,Beef bulls,Good Feeding,Absence of prolonged hunger,Underfeeding,Prolonged hunger,Discomfort,High,Easy,Body condition scoring,Welfare outcome,Health/physical/production,Moderate,Low,2,,F,Y
13,Beef,Adults - Cubicles,,,,,,,,,,,,,,,,
13,Beef,Adults - Tie stalls,,,,,,,,,,,,,,,,
13,Beef,Beef calves,Good Health,Absence of disease,Delayed calving intervention,Mortality,Di(stress),High,Easy,Calf mortality,Management input,,Easy,Low,,,F,Y
13,Beef,Beef bulls,,,,,,,,,,,,,,,,
14,Beef,Adults - Cubicles,,,,,,,,,,,,,,,,
14,Beef,Adults - Tie stalls,,,,,,,,,,,,,,,,
14,Beef,Beef calves,Good Health,Absence of disease,Poor calving conditions (calving management),Mortality,Di(stress),High,Easy,Calf mortality,Management input,,Easy,Low,3,,F,Y
14,Beef,Beef bulls,,,,,,,,,,,,,,,,
15,Beef,Adults - Cubicles,Good Health,Absence of disease,Poor calving conditions (pen design),Reproductive disorders,Pain,High,Moderate,Calving behaviour (difficult/long calving),Welfare outcome,Behavioural,Moderate,Low,,,F,Y
15,Beef,Adults - Tie stalls,Good Health,Absence of disease,Poor calving conditions (pen design),Reproductive disorders,Pain,High,Moderate,Calving behaviour (difficult/long calving),Welfare outcome,Behavioural,Moderate,Low,,,F,Y
15,Beef,Beef calves,,,,,,,,,,,,,,,,
15,Beef,Beef bulls,,,,,,,,,,,,,,,,
16,Beef,Adults - Cubicles,Good Health,Absence of disease,Poor calving conditions (pen design),Reproductive disorders,Pain,High,Moderate,Calving records (difficulty calving),Management input,,Easy,Low,3,,F,Y
16,Beef,Adults - Tie stalls,Good Health,Absence of disease,Poor calving conditions (pen design),Reproductive disorders,Pain,High,Moderate,Calving records (difficulty calving),Management input,,Easy,Low,3,,F,Y
16,Beef,Beef calves,,,,,,,,,,,,,,,,
16,Beef,Beef bulls,,,,,,,,,,,,,,,,
17,Beef,Adults - Cubicles,Good Health,Absence of disease,Poor calving conditions (pen design),Reproductive disorders,Pain,High,Moderate,Calving records (duration of calving),Management input,,Moderate,Low,,,F,Y
17,Beef,Adults - Tie stalls,Good Health,Absence of disease,Poor calving conditions (pen design),Reproductive disorders,Pain,High,Moderate,Calving records (duration of calving),Management input,,Moderate,Low,,,F,Y
17,Beef,Beef calves,,,,,,,,,,,,,,,,
17,Beef,Beef bulls,,,,,,,,,,,,,,,,
18,Beef,Adults - Cubicles,Good Health,Absence of disease,Mixing animals from different groups,Locomotor disorders (including lameness),Pain,High,Moderate,Claw disorders,Welfare outcome,Health/physical/production,Easy,Low,3,,F,Y
18,Beef,Adults - Tie stalls,,,,,,,,,,,,,,,,
18,Beef,Beef calves,,,,,,,,,,,,,,,,
18,Beef,Beef bulls,,,,,,,,,,,,,,,,
19,Beef,Adults - Cubicles,Good Health,Absence of disease,Inadequate flooring in passageways and feeding areas,Soft tissue lesions and integument damage,Pain,High,Difficult,Claw disorders,Welfare outcome,Health/physical/production,Easy,Low,2,,F,Y
19,Beef,Adults - Tie stalls,,,,,,,,,,,,,,,,
19,Beef,Beef calves,,,,,,,,,,,,,,,,
19,Beef,Beef bulls,,,,,,,,,,,,,,,,
20,Beef,Adults - Cubicles,Appropiate behaviour,Expression of other behaviours,Being tied up temporarily,Inability to perform comfort behaviour,Discomfort,Low,Easy,Coat condiition / cleanliness,Welfare outcome,Health/physical/production,Easy,Low,,,F,Y
20,Beef,Adults - Tie stalls,,,,,,,,,,,,,,,,
20,Beef,Beef calves,,,,,,,,,,,,,,,,
20,Beef,Beef bulls,Appropiate behaviour,Expression of other behaviours,Being tied up temporarily,Inability to perform comfort behaviour,Discomfort,Low,Easy,Coat condiition / cleanliness,Welfare outcome,Health/physical/production,Easy,Low,,,F,Y
21,Beef,Adults - Cubicles,Appropiate behaviour,Expression of other behaviours,Inadequate flooring in passageways and feeding areas,Inability to perform comfort behaviour,Discomfort,Low,Difficult,Coat condiition / cleanliness,Welfare outcome,Health/physical/production,Easy,Low,,,F,Y
21,Beef,Adults - Tie stalls,,,,,,,,,,,,,,,,
21,Beef,Beef calves,Appropiate behaviour,Expression of other behaviours,Inadequate flooring in passageways and feeding areas,Inability to perform comfort behaviour,Discomfort,Low,Difficult,Coat condiition / cleanliness,Welfare outcome,Health/physical/production,Easy,Low,,,F,Y
21,Beef,Beef bulls,Appropiate behaviour,Expression of other behaviours,Inadequate flooring in passageways and feeding areas,Inability to perform comfort behaviour,Discomfort,Low,Difficult,Coat condiition / cleanliness,Welfare outcome,Health/physical/production,Easy,Low,,,F,Y
22,Beef,Adults - Cubicles,Good Health,Absence of disease,Low space allowance,Skin disorders (other than soft tissue lesions and integument damage),Discomfort,High,Moderate,Coat condiition / cleanliness,Welfare outcome,Health/physical/production,Easy,Low,22,,F,Y
22,Beef,Adults - Tie stalls,Good Health,Absence of disease,Low space allowance,Skin disorders (other than soft tissue lesions and integument damage),Discomfort,High,Moderate,Coat condiition / cleanliness,Welfare outcome,Health/physical/production,Easy,Low,22,,F,Y
22,Beef,Beef calves,Good Health,Absence of disease,Low space allowance,Skin disorders (other than soft tissue lesions and integument damage),Discomfort,High,Moderate,Coat condiition / cleanliness,Welfare outcome,Health/physical/production,Easy,Low,22,,F,Y
22,Beef,Beef bulls,Good Health,Absence of disease,Low space allowance,Skin disorders (other than soft tissue lesions and integument damage),Discomfort,High,Moderate,Coat condiition / cleanliness,Welfare outcome,Health/physical/production,Easy,Low,22,,F,Y
23,Beef,Adults - Cubicles,,,,,,,,,,,,,,,,
23,Beef,Adults - Tie stalls,,,,,,,,,,,,,,,,
23,Beef,Beef calves,Appropiate behaviour,Positive emotional state,Separation of cow and calf at weaning,Separation stress,Di(stress),High,Moderate,Cognitive bias,Welfare outcome,Mental/psychological,Difficult,High,20,5,R,N (research only)
23,Beef,Beef bulls,,,,,,,,,,,,,,,,
24,Beef,Adults - Cubicles,Good Health,Absence of disease,Delayed calving intervention,Mortality,Di(stress),High,Easy,Cow mortality,Management input,,Easy,Low,4,,F,Y
24,Beef,Adults - Tie stalls,Good Health,Absence of disease,Delayed calving intervention,Mortality,Di(stress),High,Easy,Cow mortality,Management input,,Easy,Low,4,,F,Y
24,Beef,Beef calves,,,,,,,,,,,,,,,,
24,Beef,Beef bulls,,,,,,,,,,,,,,,,
25,Beef,Adults - Cubicles,Good Health,Absence of disease,Difficulty calving because of the sire,Mortality,Di(stress),High,Moderate,Cow mortality,Management input,,Easy,Low,3,,F,Y
25,Beef,Adults - Tie stalls,Good Health,Absence of disease,Difficulty calving because of the sire,Mortality,Di(stress),High,Moderate,Cow mortality,Management input,,Easy,Low,3,,F,Y
25,Beef,Beef calves,,,,,,,,,,,,,,,,
25,Beef,Beef bulls,,,,,,,,,,,,,,,,
26,Beef,Adults - Cubicles,Good Health,Absence of disease,Poor calving conditions (calving management),Mortality,Di(stress),High,Easy,Cow mortality,Management input,,Easy,Low,3,,F,Y
26,Beef,Adults - Tie stalls,Good Health,Absence of disease,Poor calving conditions (calving management),Mortality,Di(stress),High,Easy,Cow mortality,Management input,,Easy,Low,3,,F,Y
26,Beef,Beef calves,,,,,,,,,,,,,,,,
26,Beef,Beef bulls,,,,,,,,,,,,,,,,
27,Beef,Adults - Cubicles,Good Health,Absence of disease,Poor cubicle design,Environmental stress,Discomfort,Low,Difficult,Disease,Welfare outcome,Health/physical/production,Easy,Low,3,,F,Y
27,Beef,Adults - Tie stalls,,,,,,,,,,,,,,,,
27,Beef,Beef calves,,,,,,,,,,,,,,,,
27,Beef,Beef bulls,Good Health,Absence of disease,Poor cubicle design,Environmental stress,Discomfort,Low,Difficult,Disease,Welfare outcome,Health/physical/production,Easy,Low,3,,F,Y
28,Beef,Adults - Cubicles,,,,,,,,,,,,,,,,
28,Beef,Adults - Tie stalls,,,,,,,,,,,,,,,,
28,Beef,Beef calves,Good Feeding,Absence of prolonged hunger,Abrupt weaning from milk,Prolonged hunger,Discomfort,High,Easy,Growth records (growth restriction),Management input, ,Easy,Low,5,,F,Y
28,Beef,Beef bulls,,,,,,,,,,,,,,,,
29,Beef,Adults - Cubicles,,,,,,,,,,,,,,,,
29,Beef,Adults - Tie stalls,,,,,,,,,,,,,,,,
29,Beef,Beef calves,Good Feeding,Absence of prolonged hunger,Poor management and nutrition of orphan calves,Prolonged hunger,Discomfort,High,Easy,Growth records (growth restriction),Management input, ,Easy,Low,19,,F,Y
29,Beef,Beef bulls,,,,,,,,,,,,,,,,
30,Beef,Adults - Cubicles,Good Housing,Thermal comfort,Inadequate bedding (cubicle/stall floor),Cold stress,Discomfort,Low,Easy,Huddling,Welfare outcome,Behavioural,Moderate,Low,,,"F, R",Y
30,Beef,Adults - Tie stalls,Good Housing,Thermal comfort,Inadequate bedding (cubicle/stall floor),Cold stress,Discomfort,Low,Easy,Huddling,Welfare outcome,Behavioural,Moderate,Low,,,"F, R",Y
30,Beef,Beef calves,,,,,,,,,,,,,,,,
30,Beef,Beef bulls,Good Housing,Thermal comfort,Inadequate bedding (cubicle/stall floor),Cold stress,Discomfort,Low,Easy,Huddling,Welfare outcome,Behavioural,Moderate,Low,,,"F, R",Y
31,Beef,Adults - Cubicles,Good Housing,Thermal comfort,Inadequate maintenance of housing,Cold stress,Di(stress),Low,Easy,Huddling,Welfare outcome,Behavioural,Moderate,Low,,,"F, R",Y
31,Beef,Adults - Tie stalls,Good Housing,Thermal comfort,Inadequate maintenance of housing,Cold stress,Di(stress),Low,Easy,Huddling,Welfare outcome,Behavioural,Moderate,Low,,,"F, R",Y
31,Beef,Beef calves,Good Housing,Thermal comfort,Inadequate maintenance of housing,Cold stress,Di(stress),Low,Easy,Huddling,Welfare outcome,Behavioural,Moderate,Low,,,"F, R",Y
31,Beef,Beef bulls,Good Housing,Thermal comfort,Inadequate maintenance of housing,Cold stress,Di(stress),Low,Easy,Huddling,Welfare outcome,Behavioural,Moderate,Low,,,"F, R",Y
32,Beef,Adults - Cubicles,Good Housing,Thermal comfort,Insufficient protection from weather,Cold stress,Di(stress),Low,Moderate,Huddling,Welfare outcome,Behavioural,Moderate,Low,,,"F, R",Y
32,Beef,Adults - Tie stalls,Good Housing,Thermal comfort,Insufficient protection from weather,Cold stress,Di(stress),Low,Moderate,Huddling,Welfare outcome,Behavioural,Moderate,Low,,,"F, R",Y
32,Beef,Beef calves,Good Housing,Thermal comfort,Insufficient protection from weather,Cold stress,Di(stress),Low,Moderate,Huddling,Welfare outcome,Behavioural,Moderate,Low,,,"F, R",Y
32,Beef,Beef bulls,,,,,,,,,,,,,,,,
33,Beef,Adults - Cubicles,Good Housing,Thermal comfort,Lack of facilities for sick animals,Cold stress,Di(stress),Low,Moderate,Huddling,Welfare outcome,Behavioural,Moderate,Low,,,"F, R",Y
33,Beef,Adults - Tie stalls,Good Housing,Thermal comfort,Lack of facilities for sick animals,Cold stress,Di(stress),Low,Moderate,Huddling,Welfare outcome,Behavioural,Moderate,Low,,,"F, R",Y
33,Beef,Beef calves,Good Housing,Thermal comfort,Lack of facilities for sick animals,Cold stress,Di(stress),Low,Moderate,Huddling,Welfare outcome,Behavioural,Moderate,Low,,,"F, R",Y
33,Beef,Beef bulls,Good Housing,Thermal comfort,Lack of facilities for sick animals,Cold stress,Di(stress),Low,Moderate,Huddling,Welfare outcome,Behavioural,Moderate,Low,,,"F, R",Y
34,Beef,Adults - Cubicles,Appropiate behaviour,Expression of other behaviours,Poor calving conditions (absence of pen),Reproductive disorders,Di(stress),High,Moderate,Impaired calving behaviour,Welfare outcome,Behavioural,Moderate,Low,2,,"F, R",Y
34,Beef,Adults - Tie stalls,Appropiate behaviour,Expression of other behaviours,Poor calving conditions (absence of pen),Reproductive disorders,Di(stress),High,Moderate,Impaired calving behaviour,Welfare outcome,Behavioural,Moderate,Low,2,,"F, R",Y
34,Beef,Beef calves,,,,,,,,,,,,,,,,
34,Beef,Beef bulls,,,,,,,,,,,,,,,,
35,Beef,Adults - Cubicles,Appropiate behaviour,Expression of other behaviours,Poor calving conditions (pen design),Reproductive disorders,Di(stress),High,Moderate,Impaired calving behaviour,Welfare outcome,Behavioural,Moderate,Low,2,,"F, R",Y
35,Beef,Adults - Tie stalls,Appropiate behaviour,Expression of other behaviours,Poor calving conditions (pen design),Reproductive disorders,Di(stress),High,Moderate,Impaired calving behaviour,Welfare outcome,Behavioural,Moderate,Low,2,,"F, R",Y
35,Beef,Beef calves,,,,,,,,,,,,,,,,
35,Beef,Beef bulls,,,,,,,,,,,,,,,,
36,Beef,Adults - Cubicles,Appropiate behaviour,Expression of other behaviours,Poor calving conditions (unable to separate from other animals),Reproductive disorders,Di(stress),High,Moderate,Impaired calving behaviour,Welfare outcome,Behavioural,Moderate,Low,2,,"F, R",Y
36,Beef,Adults - Tie stalls,Appropiate behaviour,Expression of other behaviours,Poor calving conditions (unable to separate from other animals),Reproductive disorders,Di(stress),High,Moderate,Impaired calving behaviour,Welfare outcome,Behavioural,Moderate,Low,2,,"F, R",Y
36,Beef,Beef calves,,,,,,,,,,,,,,,,
36,Beef,Beef bulls,,,,,,,,,,,,,,,,
37,Beef,Adults - Cubicles,Appropiate behaviour,Expression of other behaviours,Being tied up temporarily,Inability to perform comfort behaviour,Discomfort,Low,Easy,Impaired maintenance behaviour,Welfare outcome,Behavioural,Moderate,Medium,2,,R,Y
37,Beef,Adults - Tie stalls,,,,,,,,,,,,,,,,
37,Beef,Beef calves,,,,,,,,,,,,,,,,
37,Beef,Beef bulls,Appropiate behaviour,Expression of other behaviours,Being tied up temporarily,Inability to perform comfort behaviour,Discomfort,Low,Easy,Impaired maintenance behaviour,Welfare outcome,Behavioural,Moderate,Medium,2,,R,Y
38,Beef,Adults - Cubicles,Appropiate behaviour,Expression of other behaviours,Inadequate flooring in passageways and feeding areas,Inability to perform comfort behaviour,Discomfort,Low,Difficult,Impaired maintenance behaviour,Welfare outcome,Behavioural,Moderate,Medium,2,,R,Y
38,Beef,Adults - Tie stalls,,,,,,,,,,,,,,,,
38,Beef,Beef calves,Appropiate behaviour,Expression of other behaviours,Inadequate flooring in passageways and feeding areas,Inability to perform comfort behaviour,Discomfort,Low,Difficult,Impaired maintenance behaviour,Welfare outcome,Behavioural,Moderate,Medium,2,,R,Y
38,Beef,Beef bulls,Appropiate behaviour,Expression of other behaviours,Inadequate flooring in passageways and feeding areas,Inability to perform comfort behaviour,Discomfort,Low,Difficult,Impaired maintenance behaviour,Welfare outcome,Behavioural,Moderate,Medium,2,,R,Y
39,Beef,Adults - Cubicles,,,,,,,,,,,,,,,,
39,Beef,Adults - Tie stalls,,,,,,,,,,,,,,,,
39,Beef,Beef calves,Appropiate behaviour,Expression of other behaviours,Lack of space in calf housing,Inability to perform play behaviour,Di(stress),Low,Difficult,Impaired play behaviour,Welfare outcome,Behavioural,Moderate,Medium,9,,R,Y
39,Beef,Beef bulls,,,,,,,,,,,,,,,,
40,Beef,Adults - Cubicles,Appropiate behaviour,Expression of social behaviours,Inadequate flooring in passageways and feeding areas,General disruption of behaviour,Frustration,Low,Difficult,Impaired social behaviour,Welfare outcome,Behavioural,Moderate,Medium,2,,R,Y
40,Beef,Adults - Tie stalls,,,,,,,,,,,,,,,,
40,Beef,Beef calves,Appropiate behaviour,Expression of social behaviours,Inadequate flooring in passageways and feeding areas,General disruption of behaviour,Frustration,Low,Difficult,Impaired social behaviour,Welfare outcome,Behavioural,Moderate,Medium,2,,R,Y
40,Beef,Beef bulls,Appropiate behaviour,Expression of social behaviours,Inadequate flooring in passageways and feeding areas,General disruption of behaviour,Frustration,Low,Difficult,Impaired social behaviour,Welfare outcome,Behavioural,Moderate,Medium,2,,R,Y
41,Beef,Adults - Cubicles,Appropiate behaviour,Expression of social behaviours,Lack of space for exercise and social interactions,General disruption of behaviour,Frustration,Low,Difficult,Impaired social behaviour,Welfare outcome,Behavioural,Moderate,Medium,2,,R,Y
41,Beef,Adults - Tie stalls,,,,,,,,,,,,,,,,
41,Beef,Beef calves,Appropiate behaviour,Expression of social behaviours,Lack of space for exercise and social interactions,General disruption of behaviour,Frustration,Low,Difficult,Impaired social behaviour,Welfare outcome,Behavioural,Moderate,Medium,2,,R,Y
41,Beef,Beef bulls,Appropiate behaviour,Expression of social behaviours,Lack of space for exercise and social interactions,General disruption of behaviour,Frustration,Low,Difficult,Impaired social behaviour,Welfare outcome,Behavioural,Moderate,Medium,2,,R,Y
42,Beef,Adults - Cubicles,Appropiate behaviour,Expression of social behaviours,Mixing animals from different groups,General disruption of behaviour,Frustration,Low,Moderate,Impaired social behaviour,Welfare outcome,Behavioural,Moderate,Medium,2,,R,Y
42,Beef,Adults - Tie stalls,,,,,,,,,,,,,,,,
42,Beef,Beef calves,Appropiate behaviour,Expression of social behaviours,Mixing animals from different groups,General disruption of behaviour,Frustration,Low,Moderate,Impaired social behaviour,Welfare outcome,Behavioural,Moderate,Medium,2,,R,Y
42,Beef,Beef bulls,Appropiate behaviour,Expression of social behaviours,Mixing animals from different groups,General disruption of behaviour,Frustration,Low,Moderate,Impaired social behaviour,Welfare outcome,Behavioural,Moderate,Medium,2,,R,Y
43,Beef,Adults - Cubicles,Appropiate behaviour,Expression of social behaviours,Mixing animals from different groups ,General disruption of behaviour,Frustration,Low,Moderate,Impaired social behaviour,Welfare outcome,Behavioural,Moderate,Medium,2,,R,Y
43,Beef,Adults - Tie stalls,,,,,,,,,,,,,,,,
43,Beef,Beef calves,Appropiate behaviour,Expression of social behaviours,Mixing animals from different groups ,General disruption of behaviour,Frustration,Low,Moderate,Impaired social behaviour,Welfare outcome,Behavioural,Moderate,Medium,2,,R,Y
43,Beef,Beef bulls,Appropiate behaviour,Expression of social behaviours,Mixing animals from different groups ,General disruption of behaviour,Frustration,Low,Moderate,Impaired social behaviour,Welfare outcome,Behavioural,Moderate,Medium,2,,R,Y
44,Beef,Adults - Cubicles,Good Housing,Thermal comfort,Inadequate maintenance of housing,Heat stress,Di(stress),Low,Easy,Increased standing,Welfare outcome,Behavioural,Moderate,Low,,,"F, R",Y
44,Beef,Adults - Tie stalls,Good Housing,Thermal comfort,Inadequate maintenance of housing,Heat stress,Di(stress),Low,Easy,Increased standing,Welfare outcome,Behavioural,Moderate,Low,,,"F, R",Y
44,Beef,Beef calves,Good Housing,Thermal comfort,Inadequate maintenance of housing,Heat stress,Di(stress),Low,Easy,Increased standing,Welfare outcome,Behavioural,Moderate,Low,,,"F, R",Y
44,Beef,Beef bulls,Good Housing,Thermal comfort,Inadequate maintenance of housing,Heat stress,Di(stress),Low,Easy,Increased standing,Welfare outcome,Behavioural,Moderate,Low,,,"F, R",Y
45,Beef,Adults - Cubicles,Good Housing,Thermal comfort,Insufficient protection from weather,Heat stress,Di(stress),Low,Moderate,Increased standing,Welfare outcome,Behavioural,Moderate,Low,,,"F, R",Y
45,Beef,Adults - Tie stalls,Good Housing,Thermal comfort,Insufficient protection from weather,Heat stress,Di(stress),Low,Moderate,Increased standing,Welfare outcome,Behavioural,Moderate,Low,,,"F, R",Y
