ID,Species,Animal_Class,WQ_Principles,WQ_Criteria,Welfare_Hazards_Animal,Welfare_Hazards_Consequences,Welfare_Hazards_Affective_States,Welfare_Hazards_Impact,Ease_of_Hazard_Mitigation,Welfare_Indicator,Indicator_Type,Indicator_Dimensions,Indicator_Ease,Indicator_Resources,Hazards_Source_1,Hazards_Source_2,Global_Usage,Norway_Usage
11,Dairy calves,Dairy calves,Good Health,Absence of disease,Early separation of cow and calf,Gastro-enteric disorders,Discomfort,High,Difficult,Bloat,Welfare outcome,Health/physical/production,Moderate,Low,,13,F,Y
12,Dairy calves,Dairy calves,Good Health,Absence of disease,Leaving calf with cow,Gastro-enteric disorders,Discomfort,High,Difficult,Bloat,Welfare outcome,Health/physical/production,Moderate,Low,,13,F,Y
13,Dairy calves,Dairy calves,Good Health,Absence of disease,Pasture access,Gastro-enteric disorders,Discomfort,High,Moderate,Bloat,Welfare outcome,Health/physical/production,Moderate,Low,,13,F,Y
14,Dairy calves,Dairy calves,Appropiate behaviour,Positive emotional state,Mixing animals from different groups,Group (social) stress,Fear,Low,Moderate,Body condition scoring,Welfare outcome,Health/physical/production,Moderate,Low,,13,F,Y
15,Dairy calves,Dairy calves,Appropiate behaviour,Positive emotional state,Mixing animals from different groups,Group (social) stress,Di(stress),Low,Moderate,Body condition scoring,Welfare outcome,Health/physical/production,Moderate,Low,,13,F,Y
16,Dairy calves,Dairy calves,Good Feeding,Absence of prolonged hunger,Abrupt weaning from milk,Prolonged hunger,Discomfort,High,Easy,Body condition scoring,Welfare outcome,Health/physical/production,Moderate,Low,10,,F,Y
17,Dairy calves,Dairy calves,Good Feeding,Absence of prolonged hunger,Poor colostrum management,Prolonged hunger,Discomfort,High,Easy,Body condition scoring,Welfare outcome,Health/physical/production,Moderate,Low,4,,F,Y
18,Dairy calves,Dairy calves,Good Feeding,Absence of prolonged hunger,Restricted milk allowance,Prolonged hunger,Discomfort,High,Easy,Body condition scoring,Welfare outcome,Health/physical/production,Moderate,Low,9,,F,Y
19,Dairy calves,Dairy calves,Good Health,Absence of disease,Delayed calving intervention,Mortality,Di(stress),High,Easy,Calving records (death of calf),Management input,,Easy,Low,4,,F,Y
20,Dairy calves,Dairy calves,Good Health,Absence of disease,Poor calving conditions (calving management),Mortality,Di(stress),High,Easy,Calving records (death of calf),Management input,,Easy,Low,3,,F,Y
21,Dairy calves,Dairy calves,Appropiate behaviour,Positive emotional state,Early separation of cow and calf,Separation stress,Di(stress),High,Difficult,Cognitive bias,Welfare outcome,Mental/psychological,Difficult,High,5,5,R,N (research only)
22,Dairy calves,Dairy calves,Appropiate behaviour,Positive emotional state,Early separation of cow and calf (after 24h),Separation stress,Di(stress),High,Easy,Cognitive bias,Welfare outcome,Mental/psychological,Difficult,High,5,5,R,N (research only)
23,Dairy calves,Dairy calves,Good Health,Absence of disease,Mixing animals from different groups,Respiratory disorders,Discomfort,High,Easy,Coughing,Welfare outcome,Health/physical/production,Easy,Low,,13,F,Y
24,Dairy calves,Dairy calves,Good Health,Absence of pain induced by management procedures,Improper analgesia during dehorning ,Soft tissue lesions and integument damage,Pain,High,Easy,"Cow Pain Scale (attention towards surroundings, head position, ear position, facial expression, response to approach, back position, lameness)",Welfare outcome,Behavioural,Moderate,Medium,2,12,"F, R",N
25,Dairy calves,Dairy calves,Good Health,Absence of pain induced by management procedures,Improper management of pain after dehorning,Soft tissue lesions and integument damage,Pain,High,Easy,"Cow Pain Scale (attention towards surroundings, head position, ear position, facial expression, response to approach, back position, lameness)",Welfare outcome,Behavioural,Moderate,Medium,2,12,"F, R",N
26,Dairy calves,Dairy calves,Appropiate behaviour,Expression of other behaviours,Restricted milk allowance,General disruption of behaviour,Frustration,Low,Easy,Cross sucking,Welfare outcome,Behavioural,Moderate,Low,9,,"F, R",N  
27,Dairy calves,Dairy calves,Appropiate behaviour,Expression of other behaviours,Lack of teat for drinking milk,Inability to perform suckling behaviour,Frustration,Low,Easy,Cross-sucking,Welfare outcome,Behavioural,Moderate,Low,9,,"F, R",N
28,Dairy calves,Dairy calves,Good Health,Absence of disease,Group housing during rearing (dynamic groups),Gastro-enteric disorders,Discomfort,High,Difficult,Diarrhoea,Welfare outcome,Health/physical/production,Easy,Low,,13,F,Y
29,Dairy calves,Dairy calves,Good Health,Absence of disease,Early separation of cow and calf,Gastro-enteric disorders,Discomfort,High,Difficult,Diarrhoea,Welfare outcome,Health/physical/production,Easy,Low,,13,F,Y
30,Dairy calves,Dairy calves,Good Health,Absence of disease,Leaving calf with cow,Gastro-enteric disorders,Discomfort,High,Difficult,Diarrhoea,Welfare outcome,Health/physical/production,Easy,Low,,13,F,Y
31,Dairy calves,Dairy calves,Good Health,Absence of disease,Pasture access,Gastro-enteric disorders,Discomfort,High,Moderate,Diarrhoea,Welfare outcome,Health/physical/production,Easy,Low,,13,F,Y
32,Dairy calves,Dairy calves,Good Health,Absence of disease,Mixing animals from different groups,Respiratory disorders,Discomfort,High,Easy,Droopy ears,Welfare outcome,Behavioural,Easy,Low,,13,F,Y
33,Dairy calves,Dairy calves,Appropiate behaviour,Expression of other behaviours,Inadequate flooring  ,Restriction of movement,Discomfort,High,Moderate,Falling,Welfare outcome,Behavioural,Easy,Low,,13,F,Y
34,Dairy calves,Dairy calves,Good Feeding,Absence of prolonged hunger,Restricted milk allowance,Metabolic disorders,Discomfort,High,Easy,Fatigue,Welfare outcome,Behavioural,Moderate,Low,9,13,F,Y
35,Dairy calves,Dairy calves,Appropiate behaviour,Positive emotional state,Individual housing during rearing,Isolation stress,Fear,High,Moderate,Fear response,Welfare outcome,Behavioural,Moderate,Low,9,13,F,Y
36,Dairy calves,Dairy calves,Appropiate behaviour,Expression of other behaviours,Insufficient space,Restriction of movement,Discomfort,High,Moderate,Galloping in unrestricted conditions,Welfare outcome,Behavioural,Easy,Low,,13,F,Y
37,Dairy calves,Dairy calves,Good Feeding,Absence of prolonged hunger,Restricted milk allowance,Metabolic disorders,Discomfort,High,Easy,Growth records (growth restriction),Management input,,Easy,Low,9,,F,Y
38,Dairy calves,Dairy calves,Good Feeding,Absence of prolonged hunger,Abrupt weaning from milk,Prolonged hunger,Discomfort,High,Easy,Growth records (growth restriction),Management input,,Easy,Low,5,,F,Y
39,Dairy calves,Dairy calves,Good Feeding,Absence of prolonged hunger,Poor colostrum management,Prolonged hunger,Discomfort,High,Easy,Growth records (growth restriction),Management input,,Easy,Low,4,,F,Y
40,Dairy calves,Dairy calves,Good Feeding,Absence of prolonged hunger,Restricted milk allowance,Metabolic disorders,Discomfort,High,Easy,Haemoglobin concentration,Welfare outcome,Health/physical/production,Moderate,Medium,9,13,F,Y
41,Dairy calves,Dairy calves,Good Health,Absence of disease,Group housing during rearing (dynamic groups),Gastro-enteric disorders,Discomfort,High,Difficult,Hair loss in the perineum and legs,Welfare outcome,Health/physical/production,Easy,Low,,13,F,Y
42,Dairy calves,Dairy calves,Good Health,Absence of disease,Early separation of cow and calf,Gastro-enteric disorders,Discomfort,High,Difficult,Hair loss in the perineum and legs,Welfare outcome,Health/physical/production,Easy,Low,,13,F,Y
43,Dairy calves,Dairy calves,Good Health,Absence of disease,Leaving calf with cow,Gastro-enteric disorders,Discomfort,High,Difficult,Hair loss in the perineum and legs,Welfare outcome,Health/physical/production,Easy,Low,,13,F,Y
44,Dairy calves,Dairy calves,Good Health,Absence of disease,Pasture access,Gastro-enteric disorders,Discomfort,High,Moderate,Hair loss in the perineum and legs,Welfare outcome,Health/physical/production,Easy,Low,,13,F,Y
45,Dairy calves,Dairy calves,Appropiate behaviour,Positive emotional state,Early separation of cow and calf,Separation stress,Di(stress),High,Difficult,Heart rate after separation,Welfare outcome,Health/physical/production,Moderate,Medium,4,13,R,N (research only)
46,Dairy calves,Dairy calves,Appropiate behaviour,Positive emotional state,Early separation of cow and calf (after 24h),Separation stress,Di(stress),High,Easy,Heart rate after separation,Welfare outcome,Health/physical/production,Moderate,Medium,5,13,R,N (research only)
47,Dairy calves,Dairy calves,Good Health,Absence of disease,Poor colostrum management,Mortality,Di(stress),High,Easy,Herd records (death of calf),Management input,,Easy,Low,10,,F,Y
48,Dairy calves,Dairy calves,Appropiate behaviour,Expression of social behaviours,Early separation of cow and calf,General disruption of behaviour,Frustration,Low,Difficult,Impaired social behaviour,Welfare outcome,Behavioural,Moderate,Medium,5,,R,N (research only)
49,Dairy calves,Dairy calves,Appropiate behaviour,Expression of social behaviours,Individual housing during rearing,General disruption of behaviour,Frustration,Low,Moderate,Impaired social behaviour,Welfare outcome,Behavioural,Moderate,Medium,5,,R,N (research only)
50,Dairy calves,Dairy calves,Good Feeding,Absence of prolonged hunger,Restricted milk allowance,Prolonged hunger,Discomfort,High,Easy,Increased frequency of unrewarded milk feeder visits,Welfare outcome,Behavioural,Moderate,Medium,10,10,"F, R",Y
51,Dairy calves,Dairy calves,Appropiate behaviour,Positive emotional state,Poor handling,Handling stress,Pain,High,Easy,Injurious events during handling,Welfare outcome,Health/physical/production,Easy,Low,,13,F,Y
52,Dairy calves,Dairy calves,Appropiate behaviour,Expression of other behaviours,Lack of teat for drinking milk,Inability to perform suckling behaviour,Frustration,Low,Easy,Loss of hair and inflammation of skin on the muzzle/ears area,Welfare outcome,Health/physical/production,Easy,Low,,13,F,Y
53,Dairy calves,Dairy calves,Good Health,Absence of disease,Group housing during rearing (dynamic groups),Gastro-enteric disorders,Discomfort,High,Difficult,Mortality >1%,Management input,,Easy,Low,,13,F,Y
54,Dairy calves,Dairy calves,Good Health,Absence of disease,Early separation of cow and calf,Gastro-enteric disorders,Discomfort,High,Difficult,Mortality >1%,Management input,,Easy,Low,,13,F,Y
55,Dairy calves,Dairy calves,Good Health,Absence of disease,Leaving calf with cow,Gastro-enteric disorders,Discomfort,High,Difficult,Mortality >1%,Management input,,Easy,Low,,13,F,Y
56,Dairy calves,Dairy calves,Good Health,Absence of disease,Pasture access,Gastro-enteric disorders,Discomfort,High,Moderate,Mortality >1%,Management input,,Easy,Low,,13,F,Y
57,Dairy calves,Dairy calves,Good Health,Absence of disease,Mixing animals from different groups,Respiratory disorders,Discomfort,High,Easy,Nasal and/or ocular discharge,Welfare outcome,Health/physical/production,Easy,Low,,13,F,Y
58,Dairy calves,Dairy calves,Appropiate behaviour,Expression of other behaviours,Early separation of cow and calf,General disruption of behaviour,Frustration,Low,Difficult,Non-nutritive oral manipulation,Welfare outcome,Behavioural,Moderate,Low,5,,"F, R",N  
59,Dairy calves,Dairy calves,Appropiate behaviour,Expression of other behaviours,Lack of environmental enrichment,General disruption of behaviour,Frustration,Low,Easy,Non-nutritive oral manipulation,Welfare outcome,Behavioural,Moderate,Low,10,,"F, R",N  
60,Dairy calves,Dairy calves,Appropiate behaviour,Expression of other behaviours,Lack of teat for drinking milk,General disruption of behaviour,Frustration,Low,Easy,Non-nutritive oral manipulation,Welfare outcome,Behavioural,Moderate,Low,9,,"F, R",N  
61,Dairy calves,Dairy calves,Appropiate behaviour,Expression of other behaviours,Restricted milk allowance,General disruption of behaviour,Frustration,Low,Easy,Non-nutritive oral manipulation,Welfare outcome,Behavioural,Moderate,Low,9,,"F, R",N  
62,Dairy calves,Dairy calves,Appropiate behaviour,Positive emotional state,Restricted milk allowance,Inability to chew and/or ruminate,Frustration,Low,Easy,Non-nutritive oral manipulation,Welfare outcome,Behavioural,Moderate,Low,9,13,"F, R",N
63,Dairy calves,Dairy calves,Appropiate behaviour,Expression of other behaviours,Lack of high fibre food,Inability to perform exploratory or foraging behaviour,Frustration,Low,Easy,Non-nutritive oral manipulation,Welfare outcome,Behavioural,Moderate,Low,9,13,"F, R",N
64,Dairy calves,Dairy calves,Good Feeding,Absence of prolonged hunger,Abrupt weaning from milk,Prolonged hunger,Discomfort,High,Easy,Non-nutritive sucking,Welfare outcome,Behavioural,Easy,Low,10,13,F,N
65,Dairy calves,Dairy calves,Good Feeding,Absence of prolonged hunger,Poor colostrum management,Prolonged hunger,Discomfort,High,Easy,Non-nutritive sucking,Welfare outcome,Behavioural,Easy,Low,4,13,F,N
66,Dairy calves,Dairy calves,Good Feeding,Absence of prolonged hunger,Restricted milk allowance,Prolonged hunger,Discomfort,High,Easy,Non-nutritive sucking,Welfare outcome,Behavioural,Easy,Low,9,13,F,N
67,Dairy calves,Dairy calves,Appropiate behaviour,Positive emotional state,Mixing animals from different groups,Group (social) stress,Fear,Low,Moderate,Number of displacements from automatic milk feeder,Welfare outcome,Behavioural,Moderate,Low,,13,F,Y
68,Dairy calves,Dairy calves,Appropiate behaviour,Positive emotional state,Mixing animals from different groups,Group (social) stress,Di(stress),Low,Moderate,Number of displacements from automatic milk feeder,Welfare outcome,Behavioural,Moderate,Low,,13,F,Y
69,Dairy calves,Dairy calves,Good Housing,Comfort around resting,Insufficient space,Resting problems,Fatigue,High,Moderate,Number of lying bouts,Welfare outcome,Behavioural,Moderate,Medium,,13,R,N (research only)
70,Dairy calves,Dairy calves,Good Health,Absence of pain induced by management procedures,Improper analgesia during disbudding  ,Soft tissue lesions and integument damage,Pain,High,Easy,"Pain behaviour in calves - head shaking, ear flicking, head rubbing, grooming, standing-lying transitions, hind leg kicks",Welfare outcome,Behavioural,Moderate,Medium,2,9,"F, R",Y
71,Dairy calves,Dairy calves,Good Health,Absence of pain induced by management procedures,Improper management of pain after disbudding,Soft tissue lesions and integument damage,Pain,High,Easy,"Pain behaviour in calves - head shaking, ear flicking, head rubbing, grooming, standing-lying transitions, hind leg kicks",Welfare outcome,Behavioural,Moderate,Medium,2,9,"F, R",Y
72,Dairy calves,Dairy calves,Appropiate behaviour,Positive emotional state,Abrupt weaning from milk,Environmental stress,Di(stress),Low,Easy,Physiological stress indicators,Welfare outcome,Health/physical/production,Difficult,High,5,,R,N (research only)
73,Dairy calves,Dairy calves,Appropiate behaviour,Positive emotional state,Excessive noise (constant or sudden),Environmental stress,Di(stress),Low,Moderate,Physiological stress indicators,Welfare outcome,Health/physical/production,Difficult,High,4,,R,N (research only)
74,Dairy calves,Dairy calves,Appropiate behaviour,Positive emotional state,Individual housing during rearing,Isolation stress,Fear,High,Moderate,Physiological stress indicators,Welfare outcome,Health/physical/production,Difficult,High,9,,R,N (research only)
75,Dairy calves,Dairy calves,Appropiate behaviour,Positive emotional state,Early separation of cow and calf,Separation stress,Fear,High,Difficult,Physiological stress indicators,Welfare outcome,Health/physical/production,Difficult,High,5,,R,N (research only)
76,Dairy calves,Dairy calves,Appropiate behaviour,Positive emotional state,Early separation of cow and calf,Separation stress,Di(stress),High,Difficult,Physiological stress indicators,Welfare outcome,Health/physical/production,Difficult,High,5,,R,N (research only)
77,Dairy calves,Dairy calves,Appropiate behaviour,Positive emotional state,Early separation of cow and calf (after 24h),Separation stress,Di(stress),High,Easy,Physiological stress indicators,Welfare outcome,Health/physical/production,Difficult,High,5,,R,N (research only)
78,Dairy calves,Dairy calves,Appropiate behaviour,Positive emotional state,Individual housing during rearing,Isolation stress,Fear,High,Moderate,Response in standard social approach test,Welfare outcome,Behavioural,Moderate,Medium,9,13,F,Y
79,Dairy calves,Dairy calves,Appropiate behaviour,Positive emotional state,Early separation of cow and calf,Separation stress,Di(stress),High,Difficult,Restlessness behaviour,Welfare outcome,Behavioural,Moderate,Low,4,13,F,Y
80,Dairy calves,Dairy calves,Appropiate behaviour,Positive emotional state,Early separation of cow and calf (after 24h),Separation stress,Di(stress),High,Easy,Restlessness behaviour,Welfare outcome,Behavioural,Moderate,Low,5,13,F,Y
81,Dairy calves,Dairy calves,Good Feeding,Absence of prolonged hunger,Abrupt weaning from milk,Prolonged hunger,Discomfort,High,Easy,"Restlessness, i.e., increased activity and decreased lying",Welfare outcome,Behavioural,Moderate,Low,10,13,F,Y
82,Dairy calves,Dairy calves,Good Feeding,Absence of prolonged hunger,Poor colostrum management,Prolonged hunger,Discomfort,High,Easy,"Restlessness, i.e., increased activity and decreased lying",Welfare outcome,Behavioural,Moderate,Low,4,13,F,Y
83,Dairy calves,Dairy calves,Good Feeding,Absence of prolonged hunger,Restricted milk allowance,Prolonged hunger,Discomfort,High,Easy,"Restlessness, i.e., increased activity and decreased lying",Welfare outcome,Behavioural,Moderate,Low,9,13,F,Y
84,Dairy calves,Dairy calves,Appropiate behaviour,Expression of other behaviours,Inadequate flooring  ,Restriction of movement,Discomfort,High,Moderate,Slipping,Welfare outcome,Behavioural,Easy,Low,,13,F,Y
85,Dairy calves,Dairy calves,Appropiate behaviour,Expression of other behaviours,Lack of teat for drinking milk,Inability to perform suckling behaviour,Frustration,Low,Easy,Sucking of pen fixtures,Welfare outcome,Behavioural,Easy,Low,,13,F,Y
86,Dairy calves,Dairy calves,Good Housing,Comfort around resting,Insufficient space,Resting problems,Fatigue,High,Moderate,Time spent in lateral recumbency,Welfare outcome,Behavioural,Moderate,Medium,,13,R,N (research only)
87,Dairy calves,Dairy calves,Appropiate behaviour,Expression of other behaviours,Lack of space in calf housing,Inability to perform play behaviour,Frustration,Low,Moderate,Time spent in locomotor play,Welfare outcome,Behavioural,Moderate,Medium,9,,R,N (research only)
88,Dairy calves,Dairy calves,Appropiate behaviour,Positive emotional state,Early separation of cow and calf,Separation stress,Di(stress),High,Difficult,Time spent looking out of pen,Welfare outcome,Behavioural,Moderate,Medium,5,,R,N (research only)
89,Dairy calves,Dairy calves,Appropiate behaviour,Positive emotional state,Early separation of cow and calf (after 24h),Separation stress,Di(stress),High,Easy,Time spent looking out of pen,Welfare outcome,Behavioural,Moderate,Medium,5,5,R,N (research only)
90,Dairy calves,Dairy calves,Good Housing,Comfort around resting,Insufficient space,Resting problems,Fatigue,High,Moderate,Time spent standing,Welfare outcome,Behavioural,Moderate,Medium,,13,R,N (research only)
91,Dairy calves,Dairy calves,Appropiate behaviour,Expression of other behaviours,Lack of high fibre food,Inability to perform exploratory or foraging behaviour,Frustration,Low,Easy,Tongue flicks,Welfare outcome,Behavioural,Easy,Low,,13,F,Y
92,Dairy calves,Dairy calves,Appropiate behaviour,Expression of other behaviours,Early separation of cow and calf,General disruption of behaviour,Frustration,Low,Difficult,Tongue rolling,Welfare outcome,Behavioural,Moderate,Low,5,,"F, R",Y
93,Dairy calves,Dairy calves,Appropiate behaviour,Positive emotional state,Restricted milk allowance,Inability to chew and/or ruminate,Frustration,Low,Easy,Tongue rolling,Welfare outcome,Behavioural,Easy,Low,,13,F,Y
94,Dairy calves,Dairy calves,Appropiate behaviour,Expression of other behaviours,Lack of high fibre food,Inability to perform exploratory or foraging behaviour,Frustration,Low,Easy,Tongue rolling,Welfare outcome,Behavioural,Easy,Low,,13,F,Y
95,Dairy calves,Dairy calves,Good Feeding,Absence of prolonged hunger,Poor colostrum management,Prolonged hunger,Discomfort,High,Easy,Vocalisations,Welfare outcome,Behavioural,Moderate,Medium,9,,"F, R",Y
96,Dairy calves,Dairy calves,Good Feeding,Absence of prolonged hunger,Restricted milk allowance,Prolonged hunger,Discomfort,High,Easy,Vocalisations,Welfare outcome,Behavioural,Moderate,Medium,9,,"F, R",Y
97,Dairy calves,Dairy calves,Appropiate behaviour,Positive emotional state,Early separation of cow and calf,Separation stress,Di(stress),High,Difficult,Vocalisations  ,Welfare outcome,Behavioural,Moderate,Medium,4,,"F, R",Y
98,Dairy calves,Dairy calves,Appropiate behaviour,Positive emotional state,Early separation of cow and calf (after 24h),Separation stress,Di(stress),High,Easy,Vocalisations  ,Welfare outcome,Behavioural,Moderate,Medium,5,5,"F, R",Y
99,Dairy calves,Dairy calves,Good Health,Absence of disease,Pasture access,Gastro-enteric disorders,Discomfort,High,Moderate,Weight loss (adults) or restricted weight gain (calves),Welfare outcome,Health/physical/production,Easy,Low,,,F,Y
